Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,2,11-0000,Management Occupations,125300,136730,11430,9.1,31300,77010,119740,59.69,124158.0,No information available,<5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,11-1000,Top Executives,32080,33990,1910,6.0,7150,20910,29970,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-1011,Chief Executives,3940,3780,-160,-4.1,1030,1720,2590,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-1021,General and Operations Managers,27990,30050,2060,7.4,6090,19120,27270,55.87,116225.0,Bachelor's degree,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-1031,Legislators,150,160,10,6.7,40,80,130,29.000779941373487,80576.0,Bachelor's degree,<5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",14130,15110,980,6.9,2980,9990,13950,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-2011,Advertising and Promotions Managers,280,300,20,7.1,60,210,290,65.5,136230.0,Bachelor's degree,<5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-2021,Marketing Managers,3800,4180,380,10.0,810,2730,3920,71.69,149101.0,Bachelor's degree,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-2022,Sales Managers,9530,10060,530,5.6,1990,6700,9220,60.14,125089.0,Bachelor's degree,<5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-2031,Public Relations and Fundraising Managers,520,570,50,9.6,120,350,520,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,3,11-3000,Operations Specialties Managers,27840,31320,3480,12.5,6520,16880,26880,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3011,Administrative Services Managers,5110,5480,370,7.2,1460,2960,4790,29.000779941373487,60176.83396147404,Bachelor's degree,<5 years,No Training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD (Orange County),2018-2028,4,11-3021,Computer and Information Systems Managers,5390,6080,690,12.8,980,3490,5160,77.02,160201.0,Bachelor's degree,≥5 years,No Training
